id,lesson_id,items
961f96d3-4516-4b0e-b86c-0ef166e51593,233d4067-f635-4752-a666-a4a8b87f972c,"{""questions"": [""What is sin(90\u00b0)?"", ""What is cos(0\u00b0)?"", ""Integrate 3x dx."", ""Solve for x: x^2 - 9 = 0""], ""answers"": [""1"", ""1"", ""3/2 x^2 + C"", ""x = 3 or x = -3""]}"
d44cc0c8-eab1-45c1-a7da-679e0529340e,77f19a1f-7715-47c8-9d78-7f1889d225c7,"{""questions"": [""What does 'bias' mean in fabric cutting?"", ""Name one type of stitching technique."", ""Define fashion design."", ""What is a pattern in garment making?""], ""answers"": [""Cutting fabric diagonally across the grain."", ""Running stitch"", ""The art of applying design and aesthetics to clothing and accessories."", ""A template used to cut fabric pieces.""]}"
4327c967-3504-4bde-868b-a6e4ed45592d,c5f711fb-0b85-4fbb-a48c-02a7f76328e2,"{""questions"": [""What is sin(90\u00b0)?"", ""What is cos(0\u00b0)?""], ""answers"": [""1"", ""1""]}"
35124a2a-5b0b-4684-8173-27a5da1615e7,b0faca8d-7aba-492f-987e-c9df8e2d0f98,"{""questions"": [""What is market research?"", ""Define brand."", ""Define target audience.""], ""answers"": [""Gathering information about consumers and competitors."", ""A name or symbol identifying a product."", ""A specific group of consumers a product is aimed at.""]}"
d2f8d944-61ed-472e-b3ac-587afff9af75,8eeeed20-7cf7-4f45-ad8d-c9591a6b8629,"{""questions"": [""What is punctuation?"", ""Define sentence."", ""Define conjunction."", ""What is a pronoun?""], ""answers"": [""Marks used to clarify meaning in writing."", ""A group of words expressing a complete thought."", ""A word that joins words or sentences."", ""A word that replaces a noun.""]}"
2821dfb8-9195-4c2b-aabe-eb632eb7f37a,08bc1407-16ab-4fe0-918f-25653323516d,"{""questions"": [""What is import?"", ""Define trade."", ""Define wholesale.""], ""answers"": [""Bringing goods from another country."", ""Buying and selling of goods and services."", ""Selling goods in bulk to retailers or businesses.""]}"
21f9ae12-6f89-4121-9f6d-691c20d273e4,7570c8dc-9b20-4760-8dae-a63c31644709,"{""questions"": [""What is photovoltaic effect?"", ""How can solar energy be stored?"", ""What does PV stand for in Solar PV?"", ""What is the main component of a solar panel?""], ""answers"": [""It is the process by which solar cells convert sunlight into electricity."", ""Using batteries or thermal storage systems"", ""Photovoltaic"", ""Solar cells made of silicon""]}"
f2a40b5c-eb0d-4c15-8431-a54a91b12f66,0fc4977f-8327-40c9-976e-12032c22aa20,"{""questions"": [""What is sculpture?"", ""Name a color primary in art.""], ""answers"": [""Shaping materials like clay or stone into forms."", ""Red""]}"
560f8b8c-41f3-4343-a712-2a72d928519f,7b4913b4-154e-4ea0-8a9c-de72fac51f74,"{""questions"": [""What is hygiene?"", ""What is budgeting?"", ""Name one household chore.""], ""answers"": [""Practices to maintain health and cleanliness."", ""Planning how to spend money wisely."", ""Sweeping the floor""]}"
908aa00a-2be4-4d1a-9081-da45d8babd11,5e0f3184-f460-4c1f-a0f0-0d71f3ced140,"{""questions"": [""Define colonization."", ""Who was the first President of Nigeria?""], ""answers"": [""The act of establishing control over another country."", ""Nnamdi Azikiwe""]}"
5b81c936-c19c-4ba0-af5e-09e11e4f4537,be809ee4-28dc-439c-8ec5-f5620b7ba543,"{""questions"": [""Write the Arabic word for 'peace'."", ""What is a common greeting in Arabic?"", ""Name one Arabic vowel."", ""Translate 'book' to Arabic.""], ""answers"": [""\u0633\u0644\u0627\u0645 (Salaam)"", ""\u0627\u0644\u0633\u0644\u0627\u0645 \u0639\u0644\u064a\u0643\u0645 (Assalamu Alaikum)"", ""Fatha"", ""\u0643\u062a\u0627\u0628 (Kitab)""]}"
87534652-fea5-458a-bffe-e8960fb909b0,8bc35040-ccfd-44de-8cba-b0675123d3b9,"{""questions"": [""Name one ancient Nigerian kingdom."", ""Who were the transatlantic slaves?"", ""When did Nigeria gain independence?""], ""answers"": [""Oyo Kingdom"", ""Africans taken to the Americas for labor during the slave trade."", ""1st October 1960""]}"
52c19b3e-1051-4b73-ae8e-cd1b48fbd180,31a2b95f-894f-4d22-810a-128695e6a7ed,"{""questions"": [""Name one Nigerian national symbol."", ""What is the importance of respecting laws?"", ""What is heritage?""], ""answers"": [""Nigerian flag"", ""Maintains order and justice in society."", ""Traditions and cultural values passed down from ancestors.""]}"
ff40c737-3ab2-4eaf-a707-52f55c5b8636,65e7fe66-dcd5-49e3-a438-016993b7ecce,"{""questions"": [""Define painting."", ""Name one Nigerian festival.""], ""answers"": [""The practice of applying paint to a surface to create art."", ""Durbar Festival""]}"
4de08d71-671f-456d-89a6-c66501090cac,35867944-4d89-43f5-ab76-93d5ff3b6cab,"{""questions"": [""What is Ramadan?"", ""What is the Quran?"", ""Name one pillar of Islam.""], ""answers"": [""The Islamic month of fasting from dawn to sunset."", ""The holy book of Islam."", ""Shahada (faith)""]}"
2ce308c5-339a-4f14-8e6f-c139537d6932,9725acfb-3610-4d8d-ba9e-f879bffd6ea5,"{""questions"": [""What is baking?"", ""Name one kitchen safety rule."", ""Define plating.""], ""answers"": [""Cooking food using dry heat in an oven."", ""Keep knives away from children."", ""Arranging food attractively on a plate.""]}"
a8e8055e-64f9-4800-9a17-98406d6cfe04,cbf2976e-6baf-4fe4-9ab2-dec860938eb3,"{""questions"": [""Define sentence."", ""Define adverb."", ""Define conjunction.""], ""answers"": [""A group of words expressing a complete thought."", ""A word that modifies a verb, adjective, or another adverb."", ""A word that joins words or sentences.""]}"
eb854ccd-c04c-48a1-b4c1-68bf7a71e46d,407b1276-e6b8-4b83-ada3-d7dd9042091e,"{""questions"": [""What is punctuation?"", ""Define conjunction."", ""Define sentence."", ""Define adverb.""], ""answers"": [""Marks used to clarify meaning in writing."", ""A word that joins words or sentences."", ""A group of words expressing a complete thought."", ""A word that modifies a verb, adjective, or another adverb.""]}"
18c7d05c-2fa3-4fb3-b1a6-4046c74266d8,b072f270-6e69-4aa5-9f72-0f791a469dcd,"{""questions"": [""What is 9 squared?"", ""Simplify: 4 + 3 \u00d7 2""], ""answers"": [""81"", ""10""]}"
d4360d74-52e0-4380-a147-df704418c8ca,e8997e79-c8e0-478b-b97a-1a865be8afe0,"{""questions"": [""Who was the first President of Nigeria?"", ""Who were the transatlantic slaves?"", ""Name one ancient Nigerian kingdom.""], ""answers"": [""Nnamdi Azikiwe"", ""Africans taken to the Americas for labor during the slave trade."", ""Oyo Kingdom""]}"
853b368e-e49c-4170-8a3d-8a8978159eab,009eefb2-691a-40ba-b3c5-4ed7f5e01244,"{""questions"": [""Name one organ in the human body."", ""What is DNA?""], ""answers"": [""Heart"", ""Genetic material in living organisms.""]}"
29fd4ff4-ca13-4a2c-baea-9fc5f6498d3d,bc44e0f0-9c4e-4c1e-b7a5-fb6b40f95814,"{""questions"": [""Define force."", ""What is electricity?"", ""What is photosynthesis?""], ""answers"": [""A push or pull that changes the motion of an object."", ""A form of energy caused by the movement of electrons."", ""Process by which plants make food using sunlight, carbon dioxide, and water.""]}"
2c335356-3d39-49d8-ae1f-388088fc06f0,050740c9-49e5-488a-81fd-52f9081a68a8,"{""questions"": [""Define Zakat."", ""What is the Quran?"", ""What is Salah?""], ""answers"": [""Almsgiving or charity required of Muslims."", ""The holy book of Islam."", ""The Islamic ritual prayer performed five times daily.""]}"
f29bd980-c760-4b67-a71a-62c31976105d,97cf0611-d3c7-46f9-9ea2-a6f90ac0a75b,"{""questions"": [""Define flexibility."", ""What is strength training?"", ""Define aerobic exercise."", ""What is stamina?""], ""answers"": [""The range of motion of joints."", ""Exercises that increase muscle power."", ""Exercise that improves oxygen consumption."", ""The ability to sustain physical effort.""]}"
524e080a-ec8f-4b7f-a2f0-b5334f380328,5457389c-a208-433c-924d-61afebf1486e,"{""questions"": [""Define hardware."", ""What is a smartphone?""], ""answers"": [""Physical components of a computer."", ""A mobile device with computing capabilities.""]}"
6611c0a2-f7f4-4b56-a3d7-de3c97e77b0b,ffff54bf-3b1b-4a9e-964c-1dfcd29239b5,"{""questions"": [""Name one kitchen safety rule."", ""Define plating."", ""Define menu."", ""What is baking?""], ""answers"": [""Keep knives away from children."", ""Arranging food attractively on a plate."", ""A list of dishes served in a meal."", ""Cooking food using dry heat in an oven.""]}"
71561877-777d-445e-a734-1d42812781d2,c85ba93e-14e1-4762-9644-94960f841e04,"{""questions"": [""Define hardware."", ""What is a smartphone?""], ""answers"": [""Physical components of a computer."", ""A mobile device with computing capabilities.""]}"
dd76fe5e-26af-4177-805f-1ff2eea83836,a90fa6f9-8a52-46bb-a033-7034ccf0d1bb,"{""questions"": [""What is matter?"", ""Name three states of matter.""], ""answers"": [""Anything that has mass and occupies space."", ""Solid, Liquid, Gas""]}"
b87e17cc-6ae4-47bc-888c-abf7f9ea14d1,54a2a1b0-6c17-4d86-9139-53c64a307bd1,"{""questions"": [""What is the function of the legislature?"", ""Define federalism."", ""What is the executive branch?"", ""What is the function of the judiciary?""], ""answers"": [""To make laws."", ""A system where power is shared between national and state governments."", ""The part of government that enforces laws."", ""To interpret laws.""]}"
93b6b3de-e166-4158-9dba-83c8973c6d71,9bd6d922-6c75-4b0c-ba3d-23cca3811f90,"{""questions"": [""Translate 'book' to Arabic."", ""Name one Arabic vowel."", ""What is the Arabic script direction?"", ""What is a common greeting in Arabic?""], ""answers"": [""\u0643\u062a\u0627\u0628 (Kitab)"", ""Fatha"", ""Right to left"", ""\u0627\u0644\u0633\u0644\u0627\u0645 \u0639\u0644\u064a\u0643\u0645 (Assalamu Alaikum)""]}"
d0133704-7450-42d7-8c66-1a71b296a781,392749de-8a6c-4929-8bc7-cc05713b2362,"{""questions"": [""What is the Yoruba word for 'friend'?"", ""Translate 'hello' to Yoruba."", ""Translate 'water' to Yoruba.""], ""answers"": [""Ore"", ""Bawo"", ""Omi""]}"
49239c5c-0f12-4b61-ab6e-2529a683a410,9ff173f6-9f07-4c89-8137-06d6ce877831,"{""questions"": [""Define carbohydrates."", ""What is fiber?"", ""Define vitamins.""], ""answers"": [""Nutrients that provide energy."", ""Indigestible part of plant foods that aids digestion."", ""Organic compounds essential for health.""]}"
ffdac753-b7e5-4a66-88a5-360b9bdebde5,335257ca-5b8d-4632-bc92-b9333f172370,"{""questions"": [""Define plating."", ""Define menu."", ""What is baking?"", ""Name one kitchen safety rule.""], ""answers"": [""Arranging food attractively on a plate."", ""A list of dishes served in a meal."", ""Cooking food using dry heat in an oven."", ""Keep knives away from children.""]}"
2a0b53f4-c806-4abd-ac33-12b5a6895fc7,4180f550-2461-4e3d-810d-2c6daa628bba,"{""questions"": [""Define molecule."", ""Define atom."", ""What is an acid?"", ""What is an element?""], ""answers"": [""Two or more atoms bonded together."", ""The smallest unit of matter."", ""A substance that releases hydrogen ions in solution."", ""A substance made of one type of atom.""]}"
